Ligands HGNC,Receptors HGNC,Supports,id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,version,interactors,classification,directionality,modulatory_effect
CADM1,CADM1,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24503895'>24503895</a>,,Q9BY67,Q9BY67,CADM1_HUMAN,CADM1_HUMAN,curated,PMID:24503895,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CADM1-CADM1,Adhesion by CADM,Adhesion-Adhesion,
DSC3,DSG2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27298358'>27298358</a>,,Q08554,Q14126,DSC1_HUMAN,DSG2_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,DSC1-DSG2,Adhesion by Desmosome,Adhesion-Adhesion,
DSC3,DSG2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27298358'>27298358</a>,,Q02487,Q14126,DSC2_HUMAN,DSG2_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,DSC2-DSG2,Adhesion by Desmosome,Adhesion-Adhesion,
DSG1,DSC3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27298358'>27298358</a>,,Q02413,Q08554,DSG1_HUMAN,DSC1_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,DSG1-DSC1,Adhesion by Desmosome,Adhesion-Adhesion,
DSG1,DSC3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27298358'>27298358</a>,,Q02413,Q02487,DSG1_HUMAN,DSC2_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,DSG1-DSC2,Adhesion by Desmosome,Adhesion-Adhesion,
DSG1,DSC3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27298358'>27298358</a>,,Q02413,Q14574,DSG1_HUMAN,DSC3_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,DSG1-DSC3,Adhesion by Desmosome,Adhesion-Adhesion,
DSG2,DSC3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27298358'>27298358</a>,,Q14126,Q14574,DSG2_HUMAN,DSC3_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,DSG2-DSC3,Adhesion by Desmosome,Adhesion-Adhesion,
ICAM3,CD209,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/15795245'>15795245</a>,,P32942,Q9NNX6,ICAM3_HUMAN,CD209_HUMAN,curated,PMID:15795245,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,ICAM3-CD209,Adhesion by ICAM,Ligand-Receptor,
JAM2,JAM3,"<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/16093349'>16093349</a>, <a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/11590146'>11590146</a>",,P57087,Q9BX67,JAM2_HUMAN,JAM3_HUMAN,curated,PMC1237098;PMID:11590146,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,JAM2-JAM3,Adhesion by JAM,Adhesion-Adhesion,
JAM3,JAM3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/16118203'>16118203</a>,,Q9BX67,Q9BX67,JAM3_HUMAN,JAM3_HUMAN,curated,PMID:16118203,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,JAM3-JAM3,Adhesion by JAM,Adhesion-Adhesion,
L1CAM,L1CAM,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/18701456'>18701456</a>,,P32004,P32004,L1CAM_HUMAN,L1CAM_HUMAN,curated,PMID:18701456,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,L1CAM-L1CAM,Adhesion by L1CAM,Adhesion-Adhesion,
NECTIN1,NECTIN3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/12740392'>12740392</a>,,Q15223,Q9NQS3,PVRL1_HUMAN,PVRL3_HUMAN,curated,PMID:12740392,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,NECTIN1-NECTIN3,Adhesion by Nectin,Adhesion-Adhesion,
NECTIN1,NECTIN4,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22902367'>22902367</a>,,Q15223,Q96NY8,PVRL1_HUMAN,PVRL4_HUMAN,curated,PMID:22902367,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,NECTIN1-NECTIN4,Adhesion by Nectin,Adhesion-Adhesion,
NECTIN2,NECTIN3,"<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/19011627'>19011627</a>, <a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/12740392'>12740392</a>",,Q92692,Q9NQS3,PVRL2_HUMAN,PVRL3_HUMAN,curated,PMID:19011627;PMID:12740392,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,NECTIN2-NECTIN3,Adhesion by Nectin,Adhesion-Adhesion,
SGCG,TREM2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27477013'>27477013</a>,,P05067,TREM2_receptor,A4_HUMAN,,curated,uniprot;PMID:27477013,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,APP-TREM2+TYROBP,Signaling by Amyloid-beta precursor protein,Ligand-Receptor,
ANXA1,FPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22610094'>22610094</a>,,P04083,P25090,ANXA1_HUMAN,FPR2_HUMAN,curated,PMID:22610094;reactome,True,RVentoTormo,R-HSA-416459,,,,,CellPhoneDBcore<=4.1,ANXA1-FPR2,Signaling by Annexin,Ligand-Receptor,
APOA1,TREM2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27477018'>27477018</a>,,P02647,TREM2_receptor,APOA1_HUMAN,,curated,uniprot;PMID:27477018,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,APOA1-TREM2+TYROBP,Signaling by Apolipoprotein,Ligand-Receptor,
APOA2,TREM2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27477017'>27477017</a>,,P02652,TREM2_receptor,APOA2_HUMAN,,curated,uniprot;PMID:27477017,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,APOA2-TREM2+TYROBP,Signaling by Apolipoprotein,Ligand-Receptor,
APOB,TREM2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27477016'>27477016</a>,,P04114,TREM2_receptor,APOB_HUMAN,,curated,uniprot;PMID:27477016,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,APOB-TREM2+TYROBP,Signaling by Apolipoprotein,Ligand-Receptor,
APOE,TREM2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/27477015'>27477015</a>,,P02649,TREM2_receptor,APOE_HUMAN,,curated,uniprot;PMID:27477015,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,APOE-TREM2+TYROBP,Signaling by Apolipoprotein,Ligand-Receptor,
BMP10,ACVR2A,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/25136781'>25136781</a>,,O95393,ACVL1_ACVR2A,BMP10_HUMAN,,curated,PMID:25136781,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,BMP10-ACVR2A+ACVRL1,Signaling by BMP,Ligand-Receptor,
BMP10,BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,O95393,ACVL1_BMPR2,BMP10_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP10-ACVRL1+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP15,BMPR1B;BMPR2,"<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>, <a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/12419820'>12419820</a>",,O95972,BMPR1B_BMPR2,BMP15_HUMAN,,curated,PMID:22710174;PMID:12419820,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP15-BMPR1B+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP2,BMPR1A;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P12643,BMPR1A_BMPR2,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP2-BMPR1A+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP2,BMPR1B;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P12643,BMPR1B_BMPR2,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP2-BMPR1B+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP4,BMPR1A;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P12644,BMPR1A_BMPR2,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP4-BMPR1A+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP4,BMPR1B;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P12644,BMPR1B_BMPR2,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP4-BMPR1B+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP5,ACVR1;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P22003,ACVR1_BMPR2,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP5-ACVR1+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP5,BMPR1A;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P22003,BMPR1A_BMPR2,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP5-BMPR1A+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP5,BMPR1B;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P22003,BMPR1B_BMPR2,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP5-BMPR1B+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP6,ACVR1;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P22004,ACVR1_BMPR2,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP6-ACVR1+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP6,BMPR1A;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P22004,BMPR1A_BMPR2,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP6-BMPR1A+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP6,BMPR1B;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P22004,BMPR1B_BMPR2,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP6-BMPR1B+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP7,ACVR1;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P18075,ACVR1_BMPR2,BMP7_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP7-ACVR1+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP7,BMPR1A;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P18075,BMPR1A_BMPR2,BMP7_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP7-BMPR1A+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP7,BMPR1B;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,P18075,BMPR1B_BMPR2,BMP7_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP7-BMPR1B+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP8A,ACVR1;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,Q7Z5Y6,ACVR1_BMPR2,BMP8A_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP8A-ACVR1+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP8A,BMPR1A;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,Q7Z5Y6,BMPR1A_BMPR2,BMP8A_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP8A-BMPR1A+BMPR2,Signaling by BMP,Ligand-Receptor,
BMP8A,BMPR1B;BMPR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/22710174'>22710174</a>,,Q7Z5Y6,BMPR1B_BMPR2,BMP8A_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,BMP8A-BMPR1B+BMPR2,Signaling by BMP,Ligand-Receptor,
MICU1,CALCR,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/7476993'>7476993</a>,,P01258,P30988,CALC_HUMAN,CALCR_HUMAN,curated,uniprot;HMRbase;PMID:7476993,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,CALCA-CALCR,Signaling by Calcitonin,Ligand-Receptor,
CCL1,CCR8,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P22362,P51685,CCL1_HUMAN,CCR8_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL1-CCR8,Signaling by Chemokines,Ligand-Receptor,
CCL11,ACKR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P51671,O00590,CCL11_HUMAN,ACKR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL11-ACKR2,Signaling by Chemokines,Ligand-Receptor,
CCL11,CCR3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P51671,P51677,CCL11_HUMAN,CCR3_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL11-CCR3,Signaling by Chemokines,Ligand-Receptor,
CCL11,DPP4,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P51671,P27487,CCL11_HUMAN,DPP4_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL11-DPP4,Signaling by Chemokines,Ligand-Receptor,
CCL13,ACKR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q99616,O00590,CCL13_HUMAN,ACKR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL13-ACKR2,Signaling by Chemokines,Ligand-Receptor,
CCL13,CCR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q99616,P41597,CCL13_HUMAN,CCR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL13-CCR2,Signaling by Chemokines,Ligand-Receptor,
CCL13,CCR3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q99616,P51677,CCL13_HUMAN,CCR3_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL13-CCR3,Signaling by Chemokines,Ligand-Receptor,
CCL14,ACKR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q16627,O00590,CCL14_HUMAN,ACKR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL14-ACKR2,Signaling by Chemokines,Ligand-Receptor,
CCL14,CCR1,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q16627,P32246,CCL14_HUMAN,CCR1_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL14-CCR1,Signaling by Chemokines,Ligand-Receptor,
CCL14,CCR3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q16627,P51677,CCL14_HUMAN,CCR3_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL14-CCR3,Signaling by Chemokines,Ligand-Receptor,
CCL16,CCR1,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,O15467,P32246,CCL16_HUMAN,CCR1_HUMAN,curated,PMID:24218476,True,RVentoTormo,R-HSA-373268,,,,,CellPhoneDBcore<=4.1,CCL16-CCR1,Signaling by Chemokines,Ligand-Receptor,
CCL16,CCR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,O15467,P41597,CCL16_HUMAN,CCR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,R-HSA-373268,,,,,CellPhoneDBcore<=4.1,CCL16-CCR2,Signaling by Chemokines,Ligand-Receptor,
CCL16,HRH4,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/15265943'>15265943</a>,,O15467,Q9H3N8,CCL16_HUMAN,HRH4_HUMAN,curated,PMID:15265943,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,CCL16-HRH4,Signaling by Chemokines,Ligand-Receptor,
CCL17,CNOT6,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q92583,P51679,CCL17_HUMAN,CCR4_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL17-CCR4,Signaling by Chemokines,Ligand-Receptor,
CCL18,CCR8,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P55774,P51685,CCL18_HUMAN,CCR8_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL18-CCR8,Signaling by Chemokines,Ligand-Receptor,
CCL19,ACKR4,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q99731,Q9NPB9,CCL19_HUMAN,ACKR4_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL19-ACKR4,Signaling by Chemokines,Ligand-Receptor,
CCL19,CCR7,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q99731,P32248,CCL19_HUMAN,CCR7_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL19-CCR7,Signaling by Chemokines,Ligand-Receptor,
CCL2,ACKR1,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P13500,Q16570,CCL2_HUMAN,ACKR1_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL2-ACKR1,Signaling by Chemokines,Ligand-Receptor,
CCL2,ACKR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P13500,O00590,CCL2_HUMAN,ACKR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL2-ACKR2,Signaling by Chemokines,Ligand-Receptor,
CCL2,CCR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P13500,P41597,CCL2_HUMAN,CCR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL2-CCR2,Signaling by Chemokines,Ligand-Receptor,
CCL20,CCR6,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P78556,P51684,CCL20_HUMAN,CCR6_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL20-CCR6,Signaling by Chemokines,Ligand-Receptor,
CCL21,ACKR4,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,O00585,Q9NPB9,CCL21_HUMAN,ACKR4_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL21-ACKR4,Signaling by Chemokines,Ligand-Receptor,
CCL21,CCR7,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,O00585,P32248,CCL21_HUMAN,CCR7_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL21-CCR7,Signaling by Chemokines,Ligand-Receptor,
CCL22,CNOT6,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,O00626,P51679,CCL22_HUMAN,CCR4_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL22-CCR4,Signaling by Chemokines,Ligand-Receptor,
CCL22,DPP4,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,O00626,P27487,CCL22_HUMAN,DPP4_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL22-DPP4,Signaling by Chemokines,Ligand-Receptor,
CCL23,CCR1,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P55773,P32246,CCL23_HUMAN,CCR1_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL23-CCR1,Signaling by Chemokines,Ligand-Receptor,
CCL24,CCR3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,O00175,P51677,CCL24_HUMAN,CCR3_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL24-CCR3,Signaling by Chemokines,Ligand-Receptor,
CCL25,ACKR4,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,O15444,Q9NPB9,CCL25_HUMAN,ACKR4_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL25-ACKR4,Signaling by Chemokines,Ligand-Receptor,
CCL25,CCR9,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,O15444,P51686,CCL25_HUMAN,CCR9_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL25-CCR9,Signaling by Chemokines,Ligand-Receptor,
CCL26,CCR1,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q9Y258,P32246,CCL26_HUMAN,CCR1_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL26-CCR1,Signaling by Chemokines,Ligand-Receptor,
CCL26,CCR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q9Y258,P41597,CCL26_HUMAN,CCR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL26-CCR2,Signaling by Chemokines,Ligand-Receptor,
CCL26,CCR3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q9Y258,P51677,CCL26_HUMAN,CCR3_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL26-CCR3,Signaling by Chemokines,Ligand-Receptor,
CCL27,CCR10,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,Q9Y4X3,P46092,CCL27_HUMAN,CCR10_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL27-CCR10,Signaling by Chemokines,Ligand-Receptor,
CCL3,ACKR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P10147,O00590,CCL3_HUMAN,ACKR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL3-ACKR2,Signaling by Chemokines,Ligand-Receptor,
CCL3,CCR1,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P10147,P32246,CCL3_HUMAN,CCR1_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL3-CCR1,Signaling by Chemokines,Ligand-Receptor,
CCL3,CCR3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P10147,P51677,CCL3_HUMAN,CCR3_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL3-CCR3,Signaling by Chemokines,Ligand-Receptor,
CCL3,CCR5,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/15251452'>15251452</a>,,P10147,P51681,CCL3_HUMAN,CCR5_HUMAN,curated,PMID:15251452,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL3-CCR5,Signaling by Chemokines,Ligand-Receptor,
CCL3L1,CCR1,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P16619,P32246,CCL3L1,CCR1_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL3L1-CCR1,Signaling by Chemokines,Ligand-Receptor,
CCL3L1,CCR3,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P16619,P51677,CCL3L1,CCR3_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL3L1-CCR3,Signaling by Chemokines,Ligand-Receptor,
CCL4,ACKR2,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P13236,O00590,CCL4_HUMAN,ACKR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL4-ACKR2,Signaling by Chemokines,Ligand-Receptor,
CCL5,ACKR1,<a target='_blank' href='https://www.ncbi.nlm.nih.gov/pubmed/24218476'>24218476</a>,,P13501,Q16570,CCL5_HUMAN,ACKR1_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CCL5-ACKR1,Signaling by Chemokines,Ligand-Receptor,
