Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
Neutrophils,Cxcl10,Sdc4,Cancer Cell,1,0.3333333333333333,0.951688,2.855064,0.4652083190209622,0.3429405010127088,5,1.0,1.979405,9.897025,0.826615722922985,0.922593664227764,1.88377598564,0.3845485109372993,28.2566397846,0.3163947334414202
Neutrophils,Cxcl10,Sdc4,Endothelial Cells,1,0.3333333333333333,0.951688,2.855064,0.4652083190209622,0.3429405010127088,1,0.5,0.4151840999999999,0.8303681999999999,0.173384277077015,0.07740633577223588,0.3951257257608,0.08065980808366291,2.3707543545648,0.02654576757128854
Cancer Cell,Alcam,Nrp1,Cancer Cell,4,0.8,0.9463616800000001,4.7318084,1.0,1.0,1,0.2,0.2489452,1.244726,0.1105810393858656,0.2371209729853092,0.235592197699936,0.1105810393858656,5.8898049424984,0.2371209729853092
Cancer Cell,Alcam,Nrp1,Endothelial Cells,4,0.8,0.9463616800000001,4.7318084,1.0,1.0,2,1.0,2.0023015,4.004602999999999,0.8894189606141343,0.7628790270146908,1.89490141140652,0.8894189606141343,18.9490141140652,0.7628790270146908
Endothelial Cells,Bgn,Tlr2,Neutrophils,1,0.5,0.638843,1.277686,1.0,1.0,1,0.3333333333333333,0.4407443333333333,1.322233,1.0,1.0,0.2815664321396667,1.0,1.689398592838,1.0
Endothelial Cells,Bgn,Fgfr3,Cancer Cell,1,0.5,0.638843,1.277686,1.0,1.0,2,0.4,0.42691158,2.1345579,0.5069632704920182,0.7199362911608489,0.27272947450194,0.5069632704920182,2.7272947450194,0.7199362911608489
Endothelial Cells,Bgn,Fgfr3,Endothelial Cells,1,0.5,0.638843,1.277686,1.0,1.0,1,0.5,0.4151840999999999,0.8303681999999999,0.4930367295079818,0.2800637088391512,0.2652374559963,0.4930367295079818,1.0609498239852,0.2800637088391512
Cancer Cell,Bsg,Slc16a7,Cancer Cell,5,1.0,2.711332,13.55666,0.4656926239381928,0.6382775668834629,1,0.2,0.17796638,0.8898318999999999,1.0,1.0,0.4825259410181599,0.4656926239381928,12.063148525454,0.6382775668834629
Endothelial Cells,Bsg,Slc16a7,Cancer Cell,2,1.0,1.649669,3.299338,0.2833436426227015,0.1553401376862849,1,0.2,0.17796638,0.8898318999999999,1.0,1.0,0.2935856201282199,0.2833436426227015,2.935856201282199,0.1553401376862849
Neutrophils,Bsg,Slc16a7,Cancer Cell,2,0.6666666666666666,1.461148333333333,4.383445,0.2509637334391057,0.2063822954302521,1,0.2,0.17796638,0.8898318999999999,1.0,1.0,0.2600352795263666,0.2509637334391057,3.9005291928955,0.2063822954302521
Endothelial Cells,Cd34,Sell,Neutrophils,1,0.5,1.2687285,2.537457,1.0,1.0,1,0.3333333333333333,0.4407442343222034,1.32223270296661,1.0,1.0,0.5591847712952576,1.0,3.355108627771545,1.0
Endothelial Cells,Cd38,Pecam1,Endothelial Cells,2,1.0,1.0593511,2.1187022,1.0,1.0,2,1.0,2.4948925,4.989785,1.0,1.0,2.64296711425675,1.0,10.571868457027,1.0
Cancer Cell,Cd47,Sirpa,Cancer Cell,3,0.6,0.8608319999999999,4.30416,0.3092652540757211,0.4565333120631791,1,0.2,0.07355315999999999,0.3677658,0.06623207048213477,0.1200462994849411,0.06331691382911998,0.02048327810561848,1.582922845728,0.05480513470478845
Cancer Cell,Cd47,Sirpa,Endothelial Cells,3,0.6,0.8608319999999999,4.30416,0.3092652540757211,0.4565333120631791,1,0.5,0.4151840999999999,0.8303681999999999,0.3738588875618897,0.2710492101766163,0.3574037591711999,0.1156215638502943,3.574037591711999,0.1237429936540394
Cancer Cell,Cd47,Sirpa,Neutrophils,3,0.6,0.8608319999999999,4.30416,0.3092652540757211,0.4565333120631791,1,0.3333333333333333,0.6217996666666669,1.865399,0.5599090419559756,0.6089044903384426,0.5352650506560002,0.1731604121198084,8.028975759840002,0.2779851837043513
Endothelial Cells,Cd47,Sirpa,Cancer Cell,1,0.5,0.644167,1.288334,0.2314254940826957,0.1366509116909232,1,0.2,0.07355315999999999,0.3677658,0.06623207048213477,0.1200462994849411,0.04738051841772,0.01532778963544796,0.4738051841772,0.0164044362697388
Endothelial Cells,Cd47,Sirpa,Endothelial Cells,1,0.5,0.644167,1.288334,0.2314254940826957,0.1366509116909232,1,0.5,0.4151840999999999,0.8303681999999999,0.3738588875618897,0.2710492101766163,0.2674478961447,0.08652047777121731,1.0697915845788,0.03703912168373926
Endothelial Cells,Cd47,Sirpa,Neutrophils,1,0.5,0.644167,1.288334,0.2314254940826957,0.1366509116909232,1,0.3333333333333333,0.6217996666666669,1.865399,0.5599090419559756,0.6089044903384426,0.4005428258776668,0.1295772266760304,2.403256955266001,0.0832073537374451
Neutrophils,Cd47,Sirpa,Cancer Cell,2,0.6666666666666666,1.278475666666667,3.835427,0.4593092518415832,0.4068157762458977,1,0.2,0.07355315999999999,0.3677658,0.06623207048213477,0.1200462994849411,0.09403592526644,0.03042100274106832,1.4105388789966,0.0488367285104138
Neutrophils,Cd47,Sirpa,Endothelial Cells,2,0.6666666666666666,1.278475666666667,3.835427,0.4593092518415832,0.4068157762458977,1,0.5,0.4151840999999999,0.8303681999999999,0.3738588875618897,0.2710492101766163,0.5308027690368999,0.1717168459403781,3.1848166142214,0.1102670948388376
Neutrophils,Cd47,Sirpa,Neutrophils,2,0.6666666666666666,1.278475666666667,3.835427,0.4593092518415832,0.4068157762458977,1,0.3333333333333333,0.6217996666666669,1.865399,0.5599090419559756,0.6089044903384426,0.7949557433747781,0.2571714031601368,7.154601690373002,0.2477119528966463
Cancer Cell,Col4a2,Cd93,Endothelial Cells,1,0.2,0.1202058,0.601029,0.05079776963756738,0.1180029909664332,2,1.0,1.649669,3.299338,1.0,1.0,0.1982997818802,0.05079776963756738,1.982997818802,0.1180029909664332
Endothelial Cells,Col4a2,Cd93,Endothelial Cells,2,1.0,2.246154,4.492308,0.9492022303624327,0.8819970090335667,2,1.0,1.649669,3.299338,1.0,1.0,3.705410623025999,0.9492022303624327,14.821642492104,0.8819970090335667
Cancer Cell,Hbegf,Cd44,Cancer Cell,5,1.0,1.26395532,6.3197766,0.4962593365817796,0.7112222892880533,3,0.6,0.51319096,2.5659548,0.3638429170291098,0.4880278720175903,0.6486504440679072,0.1805604446248455,16.21626110169768,0.3470963003727277
Cancer Cell,Hbegf,Cd44,Neutrophils,5,1.0,1.26395532,6.3197766,0.4962593365817796,0.7112222892880533,1,0.3333333333333333,0.8972830000000002,2.691849,0.6361570829708902,0.5119721279824098,1.13412562139556,0.3156988919569341,17.0118843209334,0.3641259889153257
Endothelial Cells,Hbegf,Cd44,Cancer Cell,2,1.0,1.28301,2.56602,0.5037406634182204,0.2887777107119468,3,0.6,0.51319096,2.5659548,0.3638429170291098,0.4880278720175903,0.6584291335896,0.1832824724042643,6.584291335896,0.1409315716448627
Endothelial Cells,Hbegf,Cd44,Neutrophils,2,1.0,1.28301,2.56602,0.5037406634182204,0.2887777107119468,1,0.3333333333333333,0.8972830000000002,2.691849,0.6361570829708902,0.5119721279824098,1.15122306183,0.3204581910139562,6.907338370980001,0.1478461390670841
Cancer Cell,Hbegf,Erbb2,Cancer Cell,5,1.0,1.26395532,6.3197766,0.4962593365817796,0.7112222892880533,2,0.4,0.2946951,1.4734755,1.0,1.0,0.372481439422932,0.4962593365817796,9.312035985573301,0.7112222892880533
Endothelial Cells,Hbegf,Erbb2,Cancer Cell,2,1.0,1.28301,2.56602,0.5037406634182204,0.2887777107119468,2,0.4,0.2946951,1.4734755,1.0,1.0,0.378096760251,0.5037406634182204,3.780967602510001,0.2887777107119468
Cancer Cell,Hbegf,Cd9,Cancer Cell,5,1.0,1.26395532,6.3197766,0.4962593365817796,0.7112222892880533,5,1.0,2.0584632,10.292316,0.3546779492205472,0.5096106034015255,2.601805512664224,0.1760122437803749,65.0451378166056,0.3624464199966992
Cancer Cell,Hbegf,Cd9,Endothelial Cells,5,1.0,1.26395532,6.3197766,0.4962593365817796,0.7112222892880533,2,1.0,1.3317531,2.6635062,0.2294641256526258,0.131880035722349,1.683276415671492,0.1138737147656902,16.83276415671492,0.0937960209178393
Cancer Cell,Hbegf,Cd9,Neutrophils,5,1.0,1.26395532,6.3197766,0.4962593365817796,0.7112222892880533,3,1.0,2.413536666666667,7.24061,0.4158579251268271,0.3585093608761254,3.0506025098484,0.2063733780357146,45.759037647726,0.2549798483735148
Endothelial Cells,Hbegf,Cd9,Cancer Cell,2,1.0,1.28301,2.56602,0.5037406634182204,0.2887777107119468,5,1.0,2.0584632,10.292316,0.3546779492205472,0.5096106034015255,2.641028870232,0.1786657054401724,26.41028870232,0.1471641834048264
Endothelial Cells,Hbegf,Cd9,Endothelial Cells,2,1.0,1.28301,2.56602,0.5037406634182204,0.2887777107119468,2,1.0,1.3317531,2.6635062,0.2294641256526258,0.131880035722349,1.708652544831,0.1155904108869356,6.834610179323999,0.03808401480450971
Endothelial Cells,Hbegf,Cd9,Neutrophils,2,1.0,1.28301,2.56602,0.5037406634182204,0.2887777107119468,3,1.0,2.413536666666667,7.24061,0.4158579251268271,0.3585093608761254,3.0965916787,0.2094845470911125,18.5795500722,0.1035295125026107
Cancer Cell,Hbegf,Cd82,Cancer Cell,5,1.0,1.26395532,6.3197766,0.4962593365817796,0.7112222892880533,4,0.8,1.2373342,6.186671,1.0,1.0,1.563935144707944,0.4962593365817796,39.0983786176986,0.7112222892880533
Endothelial Cells,Hbegf,Cd82,Cancer Cell,2,1.0,1.28301,2.56602,0.5037406634182204,0.2887777107119468,4,0.8,1.2373342,6.186671,1.0,1.0,1.587512151942,0.5037406634182204,15.87512151942,0.2887777107119468
Cancer Cell,Efna5,Epha1,Cancer Cell,5,1.0,1.11438332,5.5719166,1.0,1.0,1,0.2,0.11764274,0.5882137,1.0,1.0,0.1310991071750968,1.0,3.277477679377419,1.0
Cancer Cell,Efna5,Epha4,Cancer Cell,5,1.0,1.11438332,5.5719166,1.0,1.0,1,0.2,0.28716327776589,1.43581638882945,1.0,1.0,0.3200099668588347,1.0,8.000249171470866,1.0
Endothelial Cells,Fgf2,Cd44,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,3,0.6,0.51319096,2.5659548,0.3638429170291098,0.4880278720175903,0.33058068113032,0.3638429170291098,3.3058068113032,0.4880278720175903
Endothelial Cells,Fgf2,Cd44,Neutrophils,1,0.5,0.644167,1.288334,1.0,1.0,1,0.3333333333333333,0.8972830000000002,2.691849,0.6361570829708902,0.5119721279824098,0.5780000982610002,0.6361570829708902,3.468000589566001,0.5119721279824098
Endothelial Cells,Fgf2,Sdc1,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,5,1.0,1.74721938,8.7360969,0.8079987829098388,0.9132001014669462,1.12550106635646,0.8079987829098388,11.2550106635646,0.9132001014669462
Endothelial Cells,Fgf2,Sdc1,Endothelial Cells,1,0.5,0.644167,1.288334,1.0,1.0,1,0.5,0.4151840999999999,0.8303681999999999,0.1920012170901612,0.08679989853305374,0.2674478961447,0.1920012170901612,1.0697915845788,0.08679989853305374
Endothelial Cells,Fgf2,Sdc2,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,1,0.2,0.11764274,0.5882137,1.0,1.0,0.07578157089758,1.0,0.7578157089758,1.0
Endothelial Cells,Fgf2,Nrp1,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,1,0.2,0.2489452,1.244726,0.1105810393858656,0.2371209729853092,0.1603622826484,0.1105810393858656,1.603622826484,0.2371209729853092
Endothelial Cells,Fgf2,Nrp1,Endothelial Cells,1,0.5,0.644167,1.288334,1.0,1.0,2,1.0,2.0023015,4.004602999999999,0.8894189606141343,0.7628790270146908,1.2898165503505,0.8894189606141343,5.159266201402,0.7628790270146908
Endothelial Cells,Fgf2,Sdc3,Endothelial Cells,1,0.5,0.644167,1.288334,1.0,1.0,1,0.5,0.644167,1.288334,1.0,1.0,0.4149511238890001,1.0,1.659804495556,1.0
Endothelial Cells,Fgf2,Fgfrl1,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,1,0.2,0.07355315999999999,0.3677658,1.0,1.0,0.04738051841772,1.0,0.4738051841772,1.0
Endothelial Cells,Fgf2,Sdc4,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,5,1.0,1.979405,9.897025,0.826615722922985,0.922593664227764,1.275067380635,0.826615722922985,12.75067380635,0.922593664227764
Endothelial Cells,Fgf2,Sdc4,Endothelial Cells,1,0.5,0.644167,1.288334,1.0,1.0,1,0.5,0.4151840999999999,0.8303681999999999,0.173384277077015,0.07740633577223588,0.2674478961447,0.173384277077015,1.0697915845788,0.07740633577223588
Endothelial Cells,Fgf2,Fgfr3,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,2,0.4,0.42691158,2.1345579,0.5069632704920182,0.7199362911608489,0.27500235175386,0.5069632704920182,2.7500235175386,0.7199362911608489
Endothelial Cells,Fgf2,Fgfr3,Endothelial Cells,1,0.5,0.644167,1.288334,1.0,1.0,1,0.5,0.4151840999999999,0.8303681999999999,0.4930367295079818,0.2800637088391512,0.2674478961447,0.4930367295079818,1.0697915845788,0.2800637088391512
Endothelial Cells,Fgf2,Fgfr1,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,4,0.8,0.66831846,3.3415923,0.517099931344623,0.6408952815242004,0.43050869742282,0.517099931344623,4.305086974228201,0.6408952815242004
Endothelial Cells,Fgf2,Fgfr1,Neutrophils,1,0.5,0.644167,1.288334,1.0,1.0,1,0.3333333333333333,0.6241173333333333,1.872352,0.482900068655377,0.3591047184757996,0.4020357902613333,0.482900068655377,2.412214741568,0.3591047184757996
Cancer Cell,Fn1,Cd44,Cancer Cell,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,3,0.6,0.51319096,2.5659548,0.3638429170291098,0.4880278720175903,0.9080831445694147,0.2946965774508652,22.70207861423537,0.4461543734171341
Cancer Cell,Fn1,Cd44,Neutrophils,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,1,0.3333333333333333,0.8972830000000002,2.691849,0.6361570829708902,0.5119721279824098,1.587727827880441,0.5152589381247963,23.81591741820662,0.4680441775235242
Endothelial Cells,Fn1,Cd44,Cancer Cell,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,3,0.6,0.51319096,2.5659548,0.3638429170291098,0.4880278720175903,0.2130687299554607,0.06914633957824459,2.130687299554607,0.0418734986004562
Endothelial Cells,Fn1,Cd44,Neutrophils,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,1,0.3333333333333333,0.8972830000000002,2.691849,0.6361570829708902,0.5119721279824098,0.3725376402199791,0.1208981448460941,2.235225841319875,0.04392795045888549
Cancer Cell,Fn1,Nt5e,Neutrophils,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,1,0.3333333333333333,0.8259896666666666,2.477969,1.0,1.0,1.461575421921909,0.8099555155756615,21.92363132882863,0.9141985509406583
Endothelial Cells,Fn1,Nt5e,Neutrophils,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,1,0.3333333333333333,0.8259896666666666,2.477969,1.0,1.0,0.3429377813533602,0.1900444844243386,2.057626688120161,0.08580144905934169
Cancer Cell,Fn1,Sdc2,Cancer Cell,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,1,0.2,0.11764274,0.5882137,1.0,1.0,0.2081669351209189,0.8099555155756615,5.204173378022972,0.9141985509406583
Endothelial Cells,Fn1,Sdc2,Cancer Cell,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,1,0.2,0.11764274,0.5882137,1.0,1.0,0.04884339583900792,0.1900444844243386,0.4884339583900791,0.08580144905934169
Cancer Cell,Fn1,Itgb8,Cancer Cell,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,2,0.4,0.23784854,1.1892427,1.0,1.0,0.4208691636626729,0.8099555155756615,10.52172909156682,0.9141985509406583
Endothelial Cells,Fn1,Itgb8,Cancer Cell,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,2,0.4,0.23784854,1.1892427,1.0,1.0,0.09875093345284296,0.1900444844243386,0.9875093345284296,0.08580144905934169
Cancer Cell,Fn1,Itga5,Cancer Cell,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,1,0.2,0.11764274,0.5882137,0.1555121713199775,0.3152440080246542,0.2081669351209189,0.125957940899763,5.204173378022972,0.2881956153288642
Cancer Cell,Fn1,Itga5,Endothelial Cells,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,1,0.5,0.638843,1.277686,0.8444878286800225,0.6847559919753458,1.130422407140918,0.6839975746758985,11.30422407140918,0.6260029356117941
Endothelial Cells,Fn1,Itga5,Cancer Cell,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,1,0.2,0.11764274,0.5882137,0.1555121713199775,0.3152440080246542,0.04884339583900792,0.02955423042021455,0.4884339583900791,0.02704839269579007
Endothelial Cells,Fn1,Itga5,Endothelial Cells,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,1,0.5,0.638843,1.277686,0.8444878286800225,0.6847559919753458,0.2652374598549757,0.1604902540041241,1.060949839419903,0.05875305636355161
Cancer Cell,Fn1,Itgav,Cancer Cell,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,0.2127022285417541,0.09974176439003916,5.317555713543851,0.1995401709617046
Cancer Cell,Fn1,Itgav,Endothelial Cells,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,0.7346615830941806,0.3445024672743782,7.346615830941806,0.2756802293885369
Cancer Cell,Fn1,Itgav,Neutrophils,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,0.779890004618327,0.365711283911244,11.69835006927491,0.4389781505904167
Endothelial Cells,Fn1,Itgav,Cancer Cell,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,0.04990753761383505,0.02340297932980512,0.4990753761383506,0.01872769957515976
Endothelial Cells,Fn1,Itgav,Endothelial Cells,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,0.1723778394005635,0.08083257971215814,0.6895113576022539,0.0258737701281738
Endothelial Cells,Fn1,Itgav,Neutrophils,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,0.1829900420272399,0.08580892538237536,1.097940252163439,0.04119997935600813
Cancer Cell,Fn1,Itgb1,Cancer Cell,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,1.863399335387284,0.4620741986535542,46.5849833846821,0.7026094233242292
Cancer Cell,Fn1,Itgb1,Endothelial Cells,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,1.4028955017078,0.3478813169221073,14.028955017078,0.2115891276164291
Endothelial Cells,Fn1,Itgb1,Cancer Cell,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.4372200190755426,0.108419105938789,4.372200190755426,0.065942903302502
Endothelial Cells,Fn1,Itgb1,Endothelial Cells,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.3291693768315074,0.08162537848554959,1.31667750732603,0.01985854575683967
Cancer Cell,Fn1,Plaur,Cancer Cell,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,1,0.2,0.07355315999999999,0.3677658,0.06474196273846859,0.1034387206967389,0.1301511328761857,0.05243810980921659,3.253778321904642,0.09456352857211417
Cancer Cell,Fn1,Plaur,Neutrophils,5,1.0,1.76948390628201,8.84741953141005,0.8099555155756615,0.9141985509406583,2,0.6666666666666666,1.062544,3.187632000000001,0.9352580372615314,0.8965612793032611,1.880154507716512,0.7575174057664449,28.20231761574769,0.8196350223685441
Endothelial Cells,Fn1,Plaur,Cancer Cell,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,1,0.2,0.07355315999999999,0.3677658,0.06474196273846859,0.1034387206967389,0.03053810298102444,0.01230385292925201,0.3053810298102444,0.008875192124624714
Endothelial Cells,Fn1,Plaur,Neutrophils,1,0.5,0.4151841060401,0.8303682120802001,0.1900444844243386,0.08580144905934169,2,0.6666666666666666,1.062544,3.187632000000001,0.9352580372615314,0.8965612793032611,0.4411513807682721,0.1777406314950866,2.646908284609633,0.07692625693471697
Cancer Cell,Grn,Tnfrsf1a,Cancer Cell,4,0.8,0.9046337399999999,4.523168699999999,0.5861013104739109,0.7797417680535939,4,0.8,0.56044534,2.8022267,0.2805818371981607,0.4936786845503422,0.5069977639897715,0.1644493824770195,12.67494409974429,0.3849418903416563
Cancer Cell,Grn,Tnfrsf1a,Endothelial Cells,4,0.8,0.9046337399999999,4.523168699999999,0.5861013104739109,0.7797417680535939,2,1.0,1.4369945,2.873989,0.7194181628018393,0.5063213154496577,1.29995370889443,0.4216519279968914,12.9995370889443,0.3947998777119376
Endothelial Cells,Grn,Tnfrsf1a,Cancer Cell,1,0.5,0.638843,1.277686,0.413898689526089,0.2202582319464061,4,0.8,0.56044534,2.8022267,0.2805818371981607,0.4936786845503422,0.3580365823416201,0.1161324547211412,3.5803658234162,0.1087367942086859
Endothelial Cells,Grn,Tnfrsf1a,Endothelial Cells,1,0.5,0.638843,1.277686,0.413898689526089,0.2202582319464061,2,1.0,1.4369945,2.873989,0.7194181628018393,0.5063213154496577,0.9180138773635,0.2977662348049479,3.672055509454,0.1115214377377202
Cancer Cell,Grn,Tnfrsf1b,Cancer Cell,4,0.8,0.9046337399999999,4.523168699999999,0.5861013104739109,0.7797417680535939,1,0.2,0.1202058,0.601029,1.0,1.0,0.108742222423692,0.5861013104739109,2.7185555605923,0.7797417680535939
Endothelial Cells,Grn,Tnfrsf1b,Cancer Cell,1,0.5,0.638843,1.277686,0.413898689526089,0.2202582319464061,1,0.2,0.1202058,0.601029,1.0,1.0,0.07679263388940001,0.413898689526089,0.7679263388940001,0.2202582319464061
Cancer Cell,Inhba,Eng,Endothelial Cells,3,0.6,0.6117163999999999,3.058582,1.0,1.0,1,0.5,1.005502,2.011004,1.0,1.0,0.6150820636327998,1.0,6.150820636328,1.0
Cancer Cell,Inhba,Bambi,Cancer Cell,3,0.6,0.6117163999999999,3.058582,1.0,1.0,4,0.8,0.84799434,4.2399717,1.0,1.0,0.5187320448851759,1.0,12.9683011221294,1.0
Endothelial Cells,Lamb1,Itga6,Endothelial Cells,1,0.5,0.4151840999999999,0.8303681999999999,1.0,1.0,1,0.5,0.644167,1.288334,1.0,1.0,0.2674478961447,1.0,1.0697915845788,1.0
Endothelial Cells,Lamb1,Itgb1,Cancer Cell,1,0.5,0.4151840999999999,0.8303681999999999,1.0,1.0,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.4372200127148639,0.5704933045923432,4.372200127148639,0.7685523266267312
Endothelial Cells,Lamb1,Itgb1,Endothelial Cells,1,0.5,0.4151840999999999,0.8303681999999999,1.0,1.0,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.32916937204275,0.4295066954076568,1.316677488171,0.2314476733732687
Cancer Cell,Ltb,Tnfrsf1a,Cancer Cell,1,0.2,0.1272103,0.6360515,1.0,1.0,4,0.8,0.56044534,2.8022267,0.2805818371981607,0.4936786845503422,0.071294419835002,0.2805818371981607,1.78236049587505,0.4936786845503422
Cancer Cell,Ltb,Tnfrsf1a,Endothelial Cells,1,0.2,0.1272103,0.6360515,1.0,1.0,2,1.0,1.4369945,2.873989,0.7194181628018393,0.5063213154496577,0.18280050144335,0.7194181628018393,1.8280050144335,0.5063213154496577
Cancer Cell,Ltb,Cd40,Endothelial Cells,1,0.2,0.1272103,0.6360515,1.0,1.0,1,0.5,0.4151840999999999,0.8303681999999999,1.0,1.0,0.05281569391622999,1.0,0.5281569391622999,1.0
Cancer Cell,Ltb,Ltbr,Cancer Cell,1,0.2,0.1272103,0.6360515,1.0,1.0,1,0.2,0.11764274,0.5882137,0.1555121713199775,0.3152440080246542,0.014965368248222,0.1555121713199775,0.37413420620555,0.3152440080246542
Cancer Cell,Ltb,Ltbr,Endothelial Cells,1,0.2,0.1272103,0.6360515,1.0,1.0,1,0.5,0.638843,1.277686,0.8444878286800225,0.6847559919753458,0.0812674096829,0.8444878286800225,0.812674096829,0.6847559919753458
Endothelial Cells,Mdk,Lrp1,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,2,0.4,0.19375896,0.9687948,1.0,1.0,0.12481312798632,1.0,1.2481312798632,1.0
Endothelial Cells,Mdk,Ptprz1,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,1,0.2,0.1202058,0.601029,1.0,1.0,0.0774326095686,1.0,0.7743260956860001,1.0
Endothelial Cells,Mdk,Sdc1,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,5,1.0,1.74721938,8.7360969,0.8079987829098388,0.9132001014669462,1.12550106635646,0.8079987829098388,11.2550106635646,0.9132001014669462
Endothelial Cells,Mdk,Sdc1,Endothelial Cells,1,0.5,0.644167,1.288334,1.0,1.0,1,0.5,0.4151840999999999,0.8303681999999999,0.1920012170901612,0.08679989853305374,0.2674478961447,0.1920012170901612,1.0697915845788,0.08679989853305374
Endothelial Cells,Mdk,Notch2,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,5,1.0,1.1443109,5.7215545,0.7219375551939231,0.8122838032805504,0.7371273195203001,0.7219375551939231,7.371273195203,0.8122838032805504
Endothelial Cells,Mdk,Notch2,Neutrophils,1,0.5,0.644167,1.288334,1.0,1.0,1,0.3333333333333333,0.4407443333333333,1.322233,0.2780624448060769,0.1877161967194496,0.2839129549703334,0.2780624448060769,1.703477729822,0.1877161967194496
Endothelial Cells,Mdk,Sdc3,Endothelial Cells,1,0.5,0.644167,1.288334,1.0,1.0,1,0.5,0.644167,1.288334,1.0,1.0,0.4149511238890001,1.0,1.659804495556,1.0
Endothelial Cells,Mdk,Itga6,Endothelial Cells,1,0.5,0.644167,1.288334,1.0,1.0,1,0.5,0.644167,1.288334,1.0,1.0,0.4149511238890001,1.0,1.659804495556,1.0
Endothelial Cells,Mdk,Itgb1,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.6783561892916801,0.5704933045923432,6.783561892916801,0.7685523266267312
