Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
Endothelial Cells (2 cells),Endothelial Cells (2 cells),87.37430410280956,41.34477638390864,87,1.0043023460093052,0.4752273147575706
Neutrophils (3 cells),Neutrophils (3 cells),59.24456779691998,16.016553847076064,38,1.5590675736031574,0.4214882591335806
Endothelial Cells (2 cells),Neutrophils (3 cells),56.24885953134947,20.013843290074455,53,1.061299236440556,0.3776196847183859
Cancer Cell (5 cells),Endothelial Cells (2 cells),55.310511659660285,29.510509013363308,73,0.7576782419131546,0.4042535481282645
Endothelial Cells (2 cells),Cancer Cell (5 cells),50.506073289028436,34.25814386669185,77,0.655923029727642,0.4449109593076864
Cancer Cell (5 cells),Neutrophils (3 cells),44.69935812645143,15.769120702545658,44,1.0158945028738962,0.3583891068760377
Cancer Cell (5 cells),Cancer Cell (5 cells),39.36787812668738,26.00928336561638,71,0.5544771567139067,0.36632793472699127
Neutrophils (3 cells),Endothelial Cells (2 cells),39.23416641355307,13.771229259176666,45,0.8718703647456237,0.3060273168705926
Neutrophils (3 cells),Cancer Cell (5 cells),35.699938425097116,21.888173786507174,58,0.6155161797430537,0.3773823066639168
