Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Cancer Cell,Vasp,Cxcr2,Neutrophils,0.6,0.74263232,0.2058250887380434,0.6666666666666666,1.3743818662297171,0.8550919345716802,1.0206603938841041,0.1759993733124013
Cancer Cell,Cd47,Sirpa,Neutrophils,0.6,0.8608319999999999,0.3092652540757211,0.3333333333333333,0.6217996666666669,0.5599090419559756,0.5352650506560002,0.1731604121198084
Cancer Cell,Gnai2,C5ar1,Neutrophils,0.8,0.86279252,0.1932981224403161,0.6666666666666666,1.459531,0.8771860972532608,1.2592724295081201,0.1695584256298038
Cancer Cell,Gnai2,Cxcr2,Neutrophils,0.8,0.86279252,0.1932981224403161,0.6666666666666666,1.3743818662297171,0.8550919345716802,1.1858063938066399,0.1652876654665634
Cancer Cell,Calr,Itgav,Neutrophils,0.8,1.17376542,0.36310712564787,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.5173304575276201,0.1639502053685308
Cancer Cell,App,Cd74,Neutrophils,1.0,0.8076021000000001,0.26959057889975396,1.0,1.8993813333333331,0.5709024212672318,1.5339443535008002,0.1539099142447042
Cancer Cell,Tgfb1,Itgav,Neutrophils,0.8,0.8052013000000001,0.31839281377138695,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.3548879101676333,0.14376078991164098
Cancer Cell,Jag1,Notch2,Neutrophils,0.4,0.449238,0.5047718175679142,0.3333333333333333,0.4407443333333333,0.2780624448060769,0.197999102818,0.1403580856621413
Cancer Cell,Cxcl1,Cxcr2,Neutrophils,0.4,0.45134114,0.1390578999679795,0.6666666666666666,1.3743818662297171,0.8550919345716802,0.6203150782994479,0.1189072887010947
Cancer Cell,Adam15,Itgav,Neutrophils,0.4,0.29817218,0.2454614899941072,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.1314176986926467,0.110830823335663
Cancer Cell,Timp1,Cd63,Neutrophils,0.6,0.4427400599999999,0.5011294634527368,0.3333333333333333,0.7417343333333334,0.2108249303497976,0.32839550324405997,0.1056505842286547
Cancer Cell,Col4a1,Itgav,Neutrophils,0.4,0.32249836,0.1442691445882383,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.1421393246792933,0.06514043435909278
Cancer Cell,Cxcl2,Cxcr2,Neutrophils,0.4,0.4893936,0.0685768933353047,0.6666666666666666,1.3743818662297171,0.8550919345716802,0.6726136892888795,0.05863954838900146
