Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Endothelial Cells,Mdk,Notch2,Neutrophils,0.5,0.644167,1.0,0.3333333333333333,0.4407443333333333,0.2780624448060769,0.2839129549703334,0.2780624448060769
Endothelial Cells,Cx3cl1,Itgav,Neutrophils,0.5,0.4151840999999999,0.5791512626106577,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.1829900393651,0.2614984993066281
Endothelial Cells,Tgfb1,Itgav,Neutrophils,1.0,1.28301,0.5073279985971547,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.56547938711,0.2290688441071003
Endothelial Cells,Vasp,Cxcr2,Neutrophils,0.5,0.9103885,0.2523197398661484,0.6666666666666666,1.3743818662297171,0.8550919345716802,1.251221445624073,0.2157565744927679
Endothelial Cells,Hbegf,Cd9,Neutrophils,1.0,1.28301,0.5037406634182204,1.0,2.413536666666667,0.4158579251268271,3.0965916787,0.2094845470911125
Endothelial Cells,Mfge8,Itgav,Neutrophils,1.0,1.4369945,0.4460148732034765,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.6333471829061667,0.2013847288969008
Endothelial Cells,Calr,Itgav,Neutrophils,1.0,1.4369945,0.4445376678985807,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.6333471829061667,0.2007177408484646
Endothelial Cells,Fn1,Nt5e,Neutrophils,0.5,0.41518410604010003,0.1900444844243386,0.3333333333333333,0.8259896666666666,1.0,0.3429377813533602,0.1900444844243386
Endothelial Cells,Fn1,Plaur,Neutrophils,0.5,0.41518410604010003,0.1900444844243386,0.6666666666666666,1.0625440000000002,0.9352580372615314,0.4411513807682721,0.1777406314950866
Endothelial Cells,Sirpa,Cd47,Neutrophils,0.5,0.4151840999999999,0.3738588875618897,0.6666666666666666,1.278475666666667,0.4593092518415832,0.5308027690368999,0.1717168459403781
Endothelial Cells,Ccl4,Ccr1,Neutrophils,0.5,0.4151840999999999,0.1566240653265063,0.6666666666666666,1.5794656666666669,0.9030985780865508,0.6557690312958999,0.1414469706905029
Endothelial Cells,Cd47,Sirpa,Neutrophils,0.5,0.644167,0.2314254940826957,0.3333333333333333,0.6217996666666669,0.5599090419559756,0.4005428258776668,0.1295772266760304
Endothelial Cells,Fn1,Cd44,Neutrophils,0.5,0.41518410604010003,0.1900444844243386,0.3333333333333333,0.8972830000000002,0.6361570829708902,0.3725376402199791,0.1208981448460941
Endothelial Cells,Spp1,Itgb5,Neutrophils,0.5,0.4151840999999999,0.1466610979786286,0.3333333333333333,0.6217996666666669,0.7357343153815379,0.25816133498530003,0.10790360251441099
Endothelial Cells,Spp1,Cd44,Neutrophils,0.5,0.4151840999999999,0.1466610979786286,0.3333333333333333,0.8972830000000002,0.6361570829708902,0.3725376348003,0.0932994962753923
Endothelial Cells,Fn1,Itgav,Neutrophils,0.5,0.41518410604010003,0.1900444844243386,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.1829900420272399,0.08580892538237536
Endothelial Cells,Cxcl2,Cxcr2,Neutrophils,0.5,0.638843,0.08951867835829087,0.6666666666666666,1.3743818662297171,0.8550919345716802,0.8780142345677912,0.07654669985769094
Endothelial Cells,Il1b,Il1rap,Neutrophils,0.5,0.4151840999999999,0.06824233080591631,0.3333333333333333,0.4407443333333333,1.0,0.1829900393651,0.06824233080591631
Endothelial Cells,Spp1,Itgav,Neutrophils,0.5,0.4151840999999999,0.1466610979786286,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.1829900393651,0.06622044965454241
Endothelial Cells,Mif,Cd74,Neutrophils,0.5,0.638843,0.1110010056486813,1.0,1.8993813333333331,0.5709024212672318,1.213406469130667,0.0633707428879298
Endothelial Cells,Il1b,Il1r2,Neutrophils,0.5,0.4151840999999999,0.06824233080591631,0.6666666666666666,1.70549622568905,0.9096120375987604,0.7080949155161049,0.06207404557485819
